poemId,emotion,le_prob,ai_prob,xi_prob,nu/hao_prob,si_prob
2001,哀,0.0015,0.9956,0.0003,0.0011,0.0465
2002,"乐, 喜",0.8675,0.0118,0.6793,0.0518,0.0809
2003,"哀, 怒/豪",0.0077,0.7079,0.1349,0.5131,0.0393
2004,哀,0.0893,0.9145,0.0233,0.0086,0.0919
2005,哀,0.2329,0.5293,0.1132,0.0005,0.104
2006,哀,0.1982,0.9986,0.0116,0.001,0.0102
2007,"哀, 思",0.0230,0.5385,0.0023,0.1159,0.6316
2008,乐,0.9368,0.0041,0.4361,0.0157,0.0289
2009,乐,0.9338,0.0022,0.2291,0.0087,0.0146
2010,思,0.4193,0.1486,0.0087,0.0771,0.4785
2011,哀,0.0043,0.9922,0.0012,0.428,0.0151
2012,哀,0.0083,0.9997,0.0024,0.3307,0.0
2013,乐,0.8745,0.1066,0.0095,0.0614,0.018
2014,哀,0.204,0.5676,0.0004,0.0277,0.4578
2015,哀,0.0289,0.5543,0.0064,0.0632,0.0762
2016,哀,0.094,0.4162,0.011,0.0797,0.1282
2017,哀,0.2108,0.5623,0.0271,0.1469,0.311
2018,思,0.0327,0.0913,0.0095,0.0059,0.9615
2019,怒/豪,0.2187,0.2543,0.3089,0.5309,0.0308
2020,哀,0.1981,0.6798,0.0033,0.005,0.4847
2021,思,0.0026,0.0558,0.0025,0.262,0.8657
2022,哀,0.0462,0.9605,0.0029,0.0478,0.073
2023,思,0.2041,0.2271,0.1265,0.0002,0.7652
2024,哀,0.0702,0.5166,0.0048,0.0884,0.0216
2025,哀,0.0017,0.9997,0.0003,0.0026,0.2368
2026,思,0.056,0.1645,0.0295,0.0314,0.7193
2027,"哀, 思",0.0032,0.9839,0.0001,0.0003,0.8736
2028,乐,0.4451,0.05,0.004,0.2156,0.0027
2029,哀,0.0027,0.9994,0.0002,0.0087,0.027
2030,"哀, 思",0.0139,0.9821,0.0003,0.0021,0.5064
2031,哀,0.005,0.9891,0.0003,0.0051,0.1457
2032,哀,0.0068,0.9934,0.0075,0.0175,0.0233
2033,思,0.398,0.4013,0.0059,0.0033,0.9637
2034,哀,0.1538,0.5871,0.004,0.009,0.0698
2035,哀,0.1338,0.6445,0.0095,0.0305,0.0413
2036,哀,0.0027,0.9998,0.0001,0.0002,0.0178
2037,哀,0.2331,0.557,0.0308,0.0003,0.4955
2038,思,0.04,0.3751,0.0126,0.9438,0.0
2039,哀,0.2757,0.9656,0.001,0.0164,0.0107
2040,哀,0.0283,0.9983,0.0253,0.0011,0.0217
2041,哀,0.0112,0.9848,0.0038,0.001,0.0053
2042,思,0.0778,0.001,0.0228,0.0001,0.9989
2043,哀,0.4732,0.7998,0.0034,0.004,0.4848
2044,哀,0.0102,0.9996,0.0948,0.0076,0.0088
2045,"乐, 喜",0.8517,0.0091,0.6496,0.0668,0.0040
2046,思,0.1893,0.1701,0.0024,0.0016,0.9107
2047,"乐, 喜",0.9963,0.0005,0.5198,0.0004,0.0758
2048,"哀, 思",0.1303,0.6300,0.0420,0.3273,0.9152
2049,哀,0.0046,0.998,0.0003,0.2184,0.0
2050,思,0.0059,0.0306,0.0013,0.001,0.9972
2051,"乐, 喜",0.5016,0.0451,0.5595,0.0029,0.2519
2052,"哀, 思",0.0040,0.8262,0.0006,0.0004,0.9788
2053,"哀, 思",0.0035,0.9939,0.0054,0.0036,0.6348
2054,"乐, 喜",0.8837,0.0901,0.5202,0.0002,0.3737
2055,哀,0.007,0.9935,0.0007,0.0027,0.2514
2056,哀,0.0169,0.9671,0.0072,0.0278,0.1778
2057,思,0.0074,0.0026,0.0025,0.0011,0.998
2058,哀,0.0046,0.9998,0.0025,0.0012,0.058
2059,"乐, 哀",0.8200,0.6750,0.0108,0.0019,0.0273
2060,哀,0.0028,0.9936,0.0004,0.005,0.3354
2061,思,0.0735,0.2531,0.005,0.0042,0.3378
2062,"哀, 思",0.0137,0.7978,0.0058,0.0965,0.5301
2063,哀,0.0062,0.986,0.0016,0.001,0.2481
2064,"哀, 思",0.0066,0.8860,0.0030,0.1548,0.6790
2065,思,0.0309,0.1999,0.0057,0.1274,0.8833
2066,思,0.0124,0.0713,0.0339,0.001,0.9567
2067,乐,0.9833,0.001,0.0229,0.0023,0.1012
2068,乐,0.8737,0.0748,0.008,0.0113,0.1412
2069,哀,0.0104,0.9724,0.0053,0.0021,0.0769
2070,哀,0.0147,0.9502,0.0028,0.0165,0.3099
2071,哀,0.0393,0.6143,0.0989,0.0105,0.3807
2072,哀,0.0182,0.9617,0.0002,0.0018,0.0722
2073,思,0.086,0.2067,0.009,0.0003,0.3857
2074,哀,0.0204,0.9986,0.0054,0.0001,0.2762
2075,思,0.4624,0.1413,0.0421,0.0022,0.4966
2076,"乐, 哀",0.8251,0.8646,0.1093,0.0345,0.0473
2077,哀,0.1788,0.382,0.0023,0.1114,0.1804
2078,喜,0.2592,0.056,0.5981,0.0254,0.0377
2079,思,0.2495,0.1284,0.016,0.0057,0.763
2080,哀,0.1989,0.751,0.002,0.0257,0.068
2081,思,0.2308,0.0562,0.0093,0.0026,0.6605
2082,"哀, 怒/豪",0.2458,0.5734,0.4129,0.7179,0.4921
2083,喜,0.1494,0.153,0.1946,0.0119,0.0276
2084,思,0.054,0.0104,0.0065,0.1829,0.8328
2085,哀,0.4101,0.942,0.0052,0.0664,0.0371
2086,思,0.0103,0.1788,0.0014,0.0021,0.9984
2087,"哀, 思",0.0772,0.5628,0.0268,0.2317,0.5547
2088,思,0.2565,0.0033,0.0081,0.4343,0.5541
2089,哀,0.0024,0.9999,0.0005,0.48,0.0041
2090,哀,0.0646,0.9854,0.0021,0.0234,0.3052
2091,哀,0.0051,0.9962,0.0028,0.0067,0.2091
2092,"乐, 哀, 怒/豪, 思",0.7368,0.6468,0.0236,0.7432,0.8721
2093,思,0.0404,0.1813,0.0016,0.001,0.9861
2094,哀,0.0046,0.9968,0.001,0.0066,0.1743
2095,思,0.2113,0.2605,0.0031,0.0255,0.4468
2096,哀,0.0477,0.9275,0.0207,0.0043,0.1573
2097,"乐, 哀",0.5382,0.6147,0.0181,0.0302,0.0166
2098,哀,0.1505,0.2634,0.0106,0.0148,0.0473
2099,"哀, 思",0.0004,0.8591,0.0002,0.0003,0.5675
2100,"哀, 思",0.0021,0.8770,0.0029,0.0221,0.7335
2101,哀,0.0121,0.9672,0.0028,0.4923,0.096
2102,"哀, 思",0.0159,0.9677,0.0028,0.0005,0.7575
2103,哀,0.0053,0.935,0.006,0.3443,0.0
2104,"哀, 思",0.0059,0.9830,0.0050,0.4513,0.7520
2105,"哀, 思",0.0602,0.5698,0.0058,0.0263,0.9283
2106,"哀, 思",0.1154,0.9824,0.0419,0.0006,0.6014
2107,乐,0.4486,0.0515,0.297,0.0106,0.121
2108,哀,0.0835,0.5267,0.0281,0.0744,0.0496
2109,乐,0.1738,0.0218,0.0621,0.0033,0.1462
2110,思,0.4535,0.1239,0.1487,0.0018,0.8582
2111,怒/豪,0.0817,0.1248,0.1076,0.5926,0.2522
2112,"乐, 哀",0.5225,0.8907,0.0240,0.0082,0.0021
2113,哀,0.0554,0.9684,0.002,0.0799,0.0024
2114,"哀, 思",0.0575,0.6979,0.0200,0.0038,0.5634
2115,乐,0.6673,0.0787,0.0278,0.0256,0.3836
2116,"哀, 思",0.0043,0.7728,0.0015,0.2592,0.9583
2117,"乐, 喜",0.7779,0.0197,0.9008,0.0110,0.0279
2118,哀,0.0485,0.7596,0.0572,0.1121,0.2824
2119,思,0.0893,0.4393,0.0021,0.0012,0.6225
2120,"乐, 思",0.6875,0.0010,0.4630,0.0022,0.9390
2121,哀,0.0033,0.9973,0.0006,0.0061,0.1486
2122,哀,0.0073,0.9942,0.0018,0.0004,0.1203
2123,哀,0.0088,0.9844,0.0033,0.0334,0.046
2124,哀,0.0026,0.9976,0.0001,0.0006,0.0819
2125,"哀, 思",0.0100,0.9659,0.0009,0.0025,0.5650
2126,哀,0.0152,0.9994,0.0005,0.001,0.0072
2127,乐,0.933,0.0052,0.0042,0.0068,0.029
2128,哀,0.2739,0.895,0.1356,0.0232,0.1021
2129,"哀, 思",0.0029,0.9866,0.0006,0.0001,0.5075
2130,哀,0.2199,0.9353,0.0025,0.02,0.0472
2131,思,0.02,0.2063,0.0107,0.0352,0.9684
2132,哀,0.0006,0.9999,0.0001,0.0016,0.3884
2133,哀,0.0111,0.9248,0.0003,0.014,0.2373
2134,思,0.0304,0.44,0.0007,0.0003,0.9542
2135,哀,0.0482,0.9653,0.001,0.001,0.2464
2136,思,0.023,0.315,0.0309,0.0043,0.9669
2137,思,0.1932,0.0127,0.0757,0.0039,0.9148
2138,思,0.1533,0.018,0.1325,0.0791,0.3136
2139,哀,0.1674,0.3759,0.08,0.3753,0.0893
2140,思,0.0383,0.0572,0.0012,0.0008,0.9872
2141,哀,0.0002,0.9745,0.0073,0.333,0.1481
2142,"哀, 思",0.1550,0.7900,0.0083,0.0019,0.8301
2143,思,0.0055,0.3926,0.0002,0.0017,0.9838
2144,乐,0.4571,0.2411,0.0007,0.0063,0.0497
2145,乐,0.5364,0.0918,0.4717,0.0924,0.2679
2146,"哀, 思",0.0415,0.7326,0.0169,0.0268,0.8365
2147,思,0.0698,0.4991,0.0084,0.0288,0.5783
2148,思,0.0084,0.0611,0.0055,0.0089,0.9993
2149,思,0.0232,0.0397,0.0013,0.0372,0.9891
2150,哀,0.0127,0.1764,0.0071,0.1357,0.1731
2151,哀,0.0009,0.9995,0.0033,0.0089,0.1993
2152,哀,0.0043,0.9904,0.0002,0.0584,0.1455
2153,哀,0.0242,0.9717,0.0003,0.0313,0.2083
2154,"乐, 思",0.5253,0.0366,0.0083,0.0541,0.6198
2155,"哀, 思",0.0221,0.6737,0.0031,0.0522,0.6312
2156,"乐, 哀",0.5410,0.6707,0.0051,0.0030,0.0804
2157,哀,0.0481,0.9987,0.0012,0.0054,0.0249
2158,思,0.1073,0.2978,0.1592,0.0021,0.9566
2159,哀,0.0021,0.8698,0.002,0.4793,0.0559
2160,乐,0.7239,0.0628,0.0391,0.3363,0.1464
2161,思,0.0204,0.056,0.0173,0.0778,0.1324
2162,思,0.2056,0.0278,0.0104,0.057,0.5886
2163,哀,0.0037,0.9949,0.0147,0.0245,0.2291
2164,喜,0.2837,0.1349,0.2862,0.0196,0.0363
2165,思,0.0531,0.254,0.0806,0.0311,0.9272
2166,"哀, 思",0.0366,0.9817,0.0004,0.0048,0.6675
2167,"哀, 思",0.0006,0.9848,0.0000,0.0002,0.9816
2168,哀,0.105,0.3995,0.089,0.011,0.1608
2169,乐,0.6441,0.3348,0.0448,0.1394,0.2529
2170,哀,0.0045,0.8089,0.0057,0.0052,0.2838
2171,喜,0.4382,0.0246,0.7094,0.097,0.0415
2172,思,0.0773,0.0081,0.0121,0.0027,0.9898
2173,乐,0.8716,0.0136,0.0833,0.0007,0.2293
2174,乐,0.286,0.1276,0.2485,0.0437,0.2478
2175,乐,0.9906,0.0068,0.0867,0.0058,0.3474
2176,思,0.0062,0.0587,0.0631,0.0156,0.9862
2177,思,0.0546,0.0424,0.0019,0.0014,0.9666
2178,"哀, 思",0.0053,0.9559,0.3465,0.0270,0.9376
2179,哀,0.0016,0.9889,0.0338,0.0961,0.0
2180,思,0.0124,0.1917,0.0127,0.1427,0.3612
2181,"乐, 思",0.5533,0.0168,0.0057,0.0236,0.8829
2182,思,0.0198,0.0102,0.0437,0.0004,0.9887
2183,思,0.1156,0.4687,0.0065,0.0311,0.7042
2184,思,0.3565,0.0051,0.0106,0.0088,0.7187
2185,哀,0.011,0.9789,0.0009,0.0595,0.059
2186,哀,0.0149,0.3671,0.0015,0.0516,0.2328
2187,"哀, 思",0.0053,0.8000,0.0179,0.0231,0.7120
2188,哀,0.0005,0.9907,0.0001,0.0046,0.326
2189,思,0.0419,0.3048,0.0175,0.0546,0.928
2190,"哀, 思",0.0080,0.8445,0.0005,0.0059,0.9593
2191,思,0.3897,0.0414,0.0001,0.0509,0.4712
2192,喜,0.3559,0.0076,0.4712,0.1369,0.269
2193,怒/豪,0.2767,0.0056,0.0077,0.5503,0.4353
2194,思,0.2325,0.1188,0.2094,0.0029,0.2879
2195,"哀, 怒/豪",0.0301,0.6185,0.0154,0.5521,0.2392
2196,哀,0.1877,0.5048,0.2193,0.0017,0.2463
2197,乐,0.2993,0.2593,0.0626,0.028,0.2028
2198,"乐, 哀",0.5342,0.5245,0.0079,0.0093,0.0512
2199,哀,0.2208,0.8387,0.125,0.0003,0.2264
2200,"哀, 思",0.1394,0.7535,0.0032,0.0005,0.5503
2201,思,0.0076,0.0805,0.0059,0.0014,0.985
2202,哀,0.0442,0.7604,0.0026,0.0017,0.3825
2203,怒/豪,0.0601,0.3289,0.0163,0.6939,0.2637
2204,思,0.0494,0.0656,0.052,0.0358,0.5936
2205,哀,0.04,0.8001,0.2152,0.016,0.1018
2206,哀,0.1974,0.6669,0.0008,0.0057,0.3327
2207,思,0.0994,0.0532,0.0013,0.0187,0.8551
2208,哀,0.2441,0.3047,0.0149,0.1256,0.2787
2209,"哀, 思",0.0545,0.9105,0.0051,0.1376,0.5033
2210,哀,0.0021,0.9996,0.0076,0.0025,0.1198
2211,"哀, 思",0.0006,0.9984,0.0012,0.0024,0.6207
2212,"乐, 哀",0.7402,0.6956,0.0044,0.4220,0.2594
2213,"乐, 思",0.5252,0.4916,0.0092,0.0028,0.8861
2214,"哀, 怒/豪, 思",0.0095,0.6610,0.0052,0.8317,0.7675
2215,哀,0.3583,0.8651,0.2365,0.0037,0.2631
2216,"乐, 喜",0.5508,0.0202,0.7600,0.0500,0.0560
2217,乐,0.49,0.0419,0.0041,0.1033,0.0864
2218,喜,0.2476,0.0516,0.632,0.0113,0.2645
2219,"乐, 哀",0.6248,0.9484,0.0031,0.0043,0.0832
2220,乐,0.2828,0.0567,0.0059,0.1812,0.2244
2221,哀,0.1736,0.4512,0.0293,0.0012,0.4341
2222,乐,0.5534,0.089,0.0027,0.0647,0.0751
2223,哀,0.0015,0.969,0.0007,0.0124,0.4055
2224,"哀, 怒/豪",0.0565,0.9847,0.0020,0.9457,0.1980
2225,哀,0.0085,0.9929,0.0019,0.0093,0.3918
2226,思,0.06,0.0075,0.0047,0.1195,0.9648
2227,"哀, 思",0.0040,0.9947,0.0000,0.0018,0.5097
2228,怒/豪,0.2292,0.1344,0.0036,0.6993,0.0173
2229,哀,0.161,0.3702,0.0073,0.0474,0.111
2230,哀,0.0208,0.6184,0.0032,0.0367,0.2524
2231,哀,0.0027,0.9998,0.0078,0.0037,0.0041
2232,哀,0.0029,0.9995,0.0004,0.0897,0.0381
2233,哀,0.0577,0.9494,0.0024,0.0049,0.0266
2234,思,0.0769,0.1492,0.0077,0.0412,0.8453
2235,"哀, 思",0.0111,0.9214,0.0047,0.0358,0.6796
2236,哀,0.0761,0.7097,0.0126,0.1304,0.3657
2237,思,0.0727,0.0328,0.0234,0.0135,0.9724
2238,哀,0.2021,0.7861,0.005,0.0018,0.3699
2239,"哀, 思",0.1906,0.9406,0.0002,0.0008,0.8216
2240,"乐, 哀, 思",0.8758,0.6774,0.2497,0.0001,0.5134
2241,"哀, 思",0.0036,0.7320,0.0104,0.0051,0.5126
2242,哀,0.0021,0.9997,0.0001,0.0001,0.0102
2243,怒/豪,0.1793,0.0174,0.0208,0.5336,0.0107
2244,"哀, 思",0.1666,0.7584,0.0069,0.0054,0.7991
2245,哀,0.1158,0.8517,0.0004,0.0001,0.466
2246,哀,0.0264,0.8141,0.0016,0.1499,0.2189
2247,哀,0.0229,0.596,0.1154,0.0314,0.4505
2248,思,0.0425,0.0726,0.2628,0.0001,0.7443
2249,思,0.0673,0.3559,0.0048,0.0006,0.4437
2250,"乐, 喜",0.7788,0.0037,0.5789,0.0021,0.2267
2251,"乐, 思",0.5095,0.0365,0.0059,0.0457,0.7769
2252,"乐, 思",0.6014,0.0009,0.0344,0.0003,0.9692
2253,"哀, 思",0.0025,0.6203,0.1290,0.0053,0.9374
2254,"哀, 思",0.0093,0.5992,0.0178,0.0391,0.6039
2255,"乐, 思",0.8892,0.0057,0.0247,0.0001,0.9642
2256,哀,0.0034,0.9647,0.0048,0.0149,0.3708
2257,哀,0.0017,0.9807,0.0225,0.0099,0.4142
2258,哀,0.0193,0.9371,0.0085,0.0174,0.2482
2259,喜,0.3822,0.0075,0.8105,0.0039,0.337
2260,哀,0.0288,0.9971,0.0423,0.0083,0.1127
2261,"乐, 哀, 思",0.7459,0.7048,0.0143,0.0215,0.8741
2262,乐,0.4671,0.3804,0.1084,0.0019,0.048
2263,乐,0.3308,0.1373,0.1935,0.0232,0.0991
2264,哀,0.0281,0.5381,0.016,0.2483,0.2596
2265,思,0.135,0.0085,0.0017,0.0036,0.9956
2266,"哀, 思",0.0328,0.7113,0.0042,0.0004,0.7689
2267,思,0.0396,0.3009,0.3173,0.0001,0.9474
2268,哀,0.0027,0.9924,0.0017,0.0174,0.0857
2269,"哀, 思",0.0034,0.8124,0.0016,0.0015,0.8072
2270,"乐, 思",0.7284,0.0246,0.0611,0.0002,0.5519
2271,思,0.086,0.0618,0.0746,0.0005,0.9462
2272,"喜, 思",0.4068,0.0179,0.7083,0.0827,0.5041
2273,思,0.2825,0.193,0.0007,0.0163,0.4722
2274,乐,0.9694,0.0211,0.001,0.0675,0.0374
2275,哀,0.1203,0.3641,0.166,0.0302,0.0255
2276,哀,0.0121,0.83,0.0012,0.1348,0.2724
2277,"乐, 思",0.6499,0.0017,0.1466,0.0003,0.8454
2278,思,0.0482,0.2419,0.0001,0.0245,0.5148
2279,"哀, 思",0.0009,0.7914,0.0067,0.0507,0.6313
2280,思,0.207,0.0329,0.217,0.024,0.7816
2281,"哀, 怒/豪",0.0095,0.7696,0.0037,0.8321,0.0036
2282,怒/豪,0.0707,0.0419,0.0013,0.9834,0.1261
2283,思,0.0111,0.499,0.0017,0.0001,0.9944
2284,思,0.0121,0.2973,0.0022,0.0063,0.9665
2285,哀,0.0396,0.22,0.0199,0.1187,0.2023
2286,思,0.0025,0.333,0.0052,0.0071,0.9877
2287,"哀, 思",0.0061,0.8716,0.0002,0.0019,0.7999
2288,思,0.0065,0.001,0.0152,0.0005,0.9996
2289,哀,0.0039,0.9986,0.0002,0.1013,0.0219
2290,哀,0.0009,0.9999,0.0001,0.0002,0.1037
2291,哀,0.0485,0.9472,0.0015,0.0329,0.2427
2292,怒/豪,0.0641,0.4537,0.1666,0.5543,0.1387
2293,思,0.0071,0.3526,0.0043,0.0372,0.9414
2294,哀,0.2128,0.8026,0.0415,0.009,0.0472
2295,思,0.0529,0.0506,0.2258,0.0401,0.8588
2296,哀,0.006,0.9485,0.0016,0.0261,0.1983
2297,乐,0.5527,0.1205,0.0967,0.0176,0.1786
2298,哀,0.0015,0.9934,0.0002,0.0013,0.4772
2299,思,0.0256,0.1931,0.3269,0.3077,0.8779
2300,乐,0.783,0.0128,0.0039,0.008,0.3786
2301,哀,0.0603,0.8758,0.3249,0.0005,0.1666
2302,"乐, 喜, 思",0.6152,0.0304,0.9103,0.1128,0.9294
2303,"乐, 思",0.8664,0.0045,0.0415,0.0008,0.7244
2304,思,0.002,0.1557,0.0013,0.0009,0.9829
2305,哀,0.0047,0.9985,0.002,0.001,0.038
2306,思,0.0331,0.019,0.0082,0.0096,0.9989
2307,乐,0.9928,0.0054,0.2757,0.001,0.0375
2308,哀,0.0134,0.2556,0.2515,0.0266,0.0638
2309,哀,0.025,0.8404,0.0045,0.3558,0.0788
2310,思,0.0005,0.2364,0.0003,0.0075,0.9921
2311,哀,0.0096,0.9636,0.0045,0.0014,0.4155
2312,哀,0.0063,0.9857,0.0006,0.0497,0.1539
2313,哀,0.0492,0.9754,0.0878,0.0043,0.0022
2314,"哀, 怒/豪",0.0014,0.9329,0.0001,0.5156,0.0266
2315,思,0.019,0.0131,0.0261,0.0302,0.9858
2316,思,0.037,0.3764,0.0091,0.0025,0.7431
2317,思,0.0658,0.1226,0.0013,0.0065,0.9346
2318,乐,0.8824,0.0138,0.0033,0.0023,0.2885
2319,思,0.0168,0.1757,0.3904,0.0004,0.9531
2320,乐,0.9829,0.0042,0.1112,0.039,0.0123
2321,思,0.0934,0.1922,0.0147,0.0705,0.922
2322,思,0.2134,0.0453,0.0028,0.0012,0.8254
2323,"哀, 思",0.0028,0.8412,0.0100,0.0062,0.9310
2324,哀,0.0012,0.999,0.0029,0.0252,0.1412
2325,思,0.3089,0.1807,0.0016,0.0175,0.5978
2326,"哀, 思",0.0006,0.6856,0.0334,0.0055,0.8758
2327,"哀, 思",0.3466,0.7766,0.0070,0.1781,0.8763
2328,哀,0.0377,0.6458,0.1054,0.0187,0.4947
2329,乐,0.5605,0.0285,0.1462,0.0007,0.2097
2330,哀,0.0392,0.6063,0.0012,0.0003,0.392
2331,思,0.2959,0.3686,0.0009,0.0114,0.6632
2332,"乐, 哀",0.8955,0.7183,0.0332,0.0064,0.0281
2333,思,0.4533,0.0683,0.2466,0.0096,0.7858
2334,"哀, 思",0.1136,0.6507,0.0041,0.0203,0.5609
2335,哀,0.0265,0.9589,0.0004,0.0005,0.2544
2336,喜,0.3157,0.135,0.4147,0.0718,0.2684
2337,"怒/豪, 思",0.0016,0.0675,0.0189,0.8850,0.8406
2338,"喜, 思",0.3098,0.0679,0.7740,0.0017,0.6596
2339,思,0.0156,0.0167,0.0444,0.0052,0.9743
2340,"喜, 思",0.0190,0.4705,0.5570,0.0387,0.6286
2341,哀,0.0069,0.9783,0.0006,0.233,0.0977
2342,哀,0.0068,0.9953,0.001,0.0695,0.0662
2343,哀,0.2969,0.3587,0.0017,0.0143,0.0378
2344,哀,0.0585,0.9785,0.0079,0.0004,0.2526
2345,哀,0.1735,0.8089,0.0019,0.0241,0.0436
2346,"乐, 怒/豪",0.5123,0.1485,0.0673,0.5073,0.1176
2347,喜,0.3269,0.0272,0.4946,0.1546,0.2455
2348,哀,0.0131,0.9258,0.0043,0.0272,0.1924
2349,思,0.0452,0.4038,0.0051,0.0105,0.5733
2350,思,0.2128,0.0946,0.0936,0.002,0.5081
2351,哀,0.148,0.9334,0.0004,0.0009,0.2817
2352,"乐, 哀",0.5432,0.5309,0.0055,0.0134,0.2440
2353,乐,0.9062,0.0126,0.0263,0.0051,0.1664
2354,思,0.2145,0.3398,0.0006,0.0039,0.6606
2355,"哀, 思",0.0033,0.6365,0.0003,0.0010,0.9855
2356,思,0.024,0.0559,0.0013,0.4699,0.9329
2357,"哀, 思",0.0094,0.7964,0.0006,0.0458,0.7551
2358,思,0.025,0.0102,0.0337,0.0412,0.9069
2359,哀,0.007,0.893,0.0028,0.0176,0.263
2360,"乐, 思",0.7650,0.0609,0.1782,0.0048,0.8585
2361,哀,0.3302,0.5145,0.0296,0.0044,0.3626
2362,哀,0.1727,0.9977,0.0033,0.0014,0.0243
2363,"哀, 思",0.0609,0.5805,0.0069,0.0026,0.6118
2364,思,0.2511,0.2593,0.0277,0.0003,0.2608
2365,乐,0.5761,0.0634,0.0541,0.0017,0.2753
2366,思,0.0181,0.1666,0.0085,0.0036,0.9767
2367,"哀, 怒/豪",0.0222,0.9801,0.0046,0.8904,0.4503
2368,思,0.0031,0.172,0.0972,0.0002,0.9178
2369,思,0.0203,0.2094,0.0019,0.002,0.995
2370,哀,0.0349,0.5017,0.0163,0.3549,0.2102
2371,乐,0.7344,0.0235,0.0907,0.0493,0.3144
2372,哀,0.0033,0.9877,0.0048,0.007,0.0201
2373,"哀, 喜",0.0051,0.9819,0.7618,0.0089,0.1695
2374,"哀, 思",0.0075,0.5122,0.0063,0.0148,0.9891
2375,哀,0.0066,0.9979,0.0005,0.3146,0.0
2376,哀,0.0438,0.9901,0.0007,0.0086,0.0818
2377,"哀, 思",0.0071,0.9995,0.0009,0.0027,0.8504
2378,"乐, 哀, 思",0.5673,0.8120,0.0815,0.4906,0.8004
2379,思,0.2563,0.2796,0.1707,0.0041,0.4919
2380,"哀, 思",0.0166,0.7370,0.0091,0.0343,0.6270
2381,"哀, 思",0.0332,0.6958,0.0002,0.0173,0.5655
2382,"哀, 思",0.0352,0.8406,0.0213,0.0081,0.9926
2383,哀,0.0093,0.9946,0.0003,0.0036,0.0129
2384,思,0.0089,0.0346,0.0068,0.0016,0.9977
2385,乐,0.9505,0.0068,0.1558,0.298,0.1329
2386,思,0.1496,0.0194,0.0014,0.0004,0.9679
2387,"哀, 思",0.0002,0.9063,0.0022,0.0001,0.8130
2388,哀,0.0123,0.9649,0.0014,0.0753,0.0601
2389,怒/豪,0.0022,0.1382,0.0006,0.6894,0.355
2390,"哀, 思",0.0296,0.6445,0.0005,0.0157,0.7339
2391,"乐, 思",0.7189,0.0073,0.1037,0.0548,0.6072
2392,乐,0.7099,0.2225,0.0103,0.1534,0.1789
2393,思,0.0234,0.227,0.0577,0.0046,0.4414
2394,思,0.0753,0.0973,0.0146,0.0005,0.9779
2395,思,0.0165,0.1697,0.0247,0.0095,0.9284
2396,哀,0.0504,0.8224,0.0092,0.0133,0.2476
2397,哀,0.0137,0.6603,0.0025,0.0548,0.1849
2398,思,0.2065,0.03,0.002,0.9447,0.0
2399,乐,0.5021,0.0782,0.2112,0.0037,0.1371
2400,哀,0.0336,0.5399,0.0044,0.1455,0.4425
2401,乐,0.7066,0.1026,0.4392,0.0017,0.0414
2402,思,0.3099,0.1129,0.1777,0.0015,0.9783
2403,思,0.1177,0.2566,0.0208,0.0029,0.8761
2404,哀,0.0089,0.9857,0.001,0.0038,0.0079
2405,哀,0.072,0.6658,0.2532,0.0953,0.4808
2406,思,0.018,0.0031,0.0515,0.0012,0.9847
2407,思,0.2577,0.2519,0.0026,0.0085,0.305
2408,哀,0.4318,0.6185,0.0001,0.0036,0.0614
2409,思,0.0206,0.1426,0.4585,0.0055,0.5562
2410,"哀, 思",0.0329,0.7292,0.0009,0.0117,0.7615
2411,思,0.0009,0.1444,0.0034,0.0006,0.9974
2412,思,0.0501,0.4864,0.0341,0.001,0.585
2413,乐,0.4392,0.244,0.0453,0.0225,0.1332
2414,思,0.3583,0.1653,0.0595,0.0013,0.9514
2415,哀,0.0036,0.9866,0.0059,0.0701,0.0
2416,怒/豪,0.2761,0.0302,0.2059,0.3624,0.0258
2417,乐,0.837,0.2654,0.0401,0.0371,0.2185
2418,哀,0.0749,0.9237,0.0171,0.0029,0.0172
2419,"哀, 思",0.0496,0.9860,0.0089,0.0860,0.8404
2420,"哀, 思",0.0277,0.7284,0.0030,0.0001,0.8082
2421,哀,0.0095,0.9896,0.0012,0.0064,0.3963
2422,"怒/豪, 思",0.0208,0.2859,0.1168,0.8284,0.7997
2423,思,0.1924,0.0062,0.1584,0.0906,0.6261
2424,"哀, 思",0.0283,0.8835,0.2482,0.0923,0.7607
2425,怒/豪,0.0243,0.2791,0.0005,0.8009,0.2527
2426,哀,0.0012,0.9996,0.0002,0.001,0.043
2427,思,0.3646,0.0086,0.086,0.0048,0.3939
2428,思,0.0313,0.0007,0.3353,0.0149,0.7935
2429,乐,0.4967,0.0365,0.0309,0.311,0.0259
2430,思,0.0258,0.0431,0.0537,0.2685,0.9019
2431,思,0.3741,0.0679,0.0009,0.0285,0.751
2432,哀,0.01,0.6531,0.1975,0.0344,0.0144
2433,哀,0.0203,0.9983,0.0003,0.0078,0.0175
2434,哀,0.0419,0.9655,0.0007,0.0033,0.134
2435,思,0.0077,0.1073,0.0006,0.0018,0.9989
2436,哀,0.0928,0.6048,0.1692,0.0116,0.096
2437,哀,0.0495,0.9988,0.0006,0.0326,0.0009
2438,"怒/豪, 思",0.0472,0.0193,0.0950,0.5232,0.7831
2439,"哀, 思",0.0304,0.6401,0.0006,0.0022,0.6588
2440,哀,0.0063,0.7907,0.0006,0.0219,0.1532
2441,哀,0.0463,0.8467,0.0053,0.005,0.413
